step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
0,1,1,start,,,floor,0.0,0.0,0.0,normal,1.0,0.0020833333333333333,,initial_position
1,2,1,cover,2,1,floor,0.0,0.0,0.0,normal,1.0,0.004166666666666667,,toward_cover
2,3,1,cover,3,1,floor,0.0,0.0,0.0,normal,1.0,0.00625,,toward_cover
3,4,1,cover,4,1,floor,0.0,0.0,0.0,normal,1.0,0.008333333333333333,,toward_cover
4,5,1,cover,5,1,floor,0.0,0.0,0.0,normal,1.0,0.010416666666666666,,toward_cover
5,6,1,cover,6,1,floor,0.0,0.0,0.0,normal,1.0,0.0125,,toward_cover
6,7,1,cover,7,1,floor,0.0,0.0,0.0,normal,1.0,0.014583333333333334,,toward_cover
7,8,1,cover,8,1,floor,0.0,0.0,0.0,normal,1.0,0.016666666666666666,,toward_cover
8,9,1,cover,9,1,floor,0.0,0.0,0.0,normal,1.0,0.01875,,toward_cover
9,10,1,cover,10,1,floor,0.0,0.0,0.0,normal,1.0,0.020833333333333332,,toward_cover
10,11,1,cover,11,1,floor,0.0,0.0,0.0,normal,1.0,0.022916666666666665,,toward_cover
11,12,1,cover,12,1,floor,0.0,0.0,0.0,normal,1.0,0.025,,toward_cover
12,13,1,cover,13,1,floor,0.0,0.0,0.0,normal,1.0,0.027083333333333334,,toward_cover
13,14,1,cover,14,1,floor,0.0,0.0,0.0,normal,1.0,0.029166666666666667,,toward_cover
14,15,1,cover,15,1,floor,0.0,0.0,0.0,normal,1.0,0.03125,,toward_cover
15,16,1,cover,16,1,floor,0.0,0.0,0.0,normal,1.0,0.03333333333333333,,toward_cover
16,17,1,cover,17,1,floor,0.0,0.0,0.0,normal,1.0,0.035416666666666666,,toward_cover
17,18,1,cover,18,1,floor,0.0,0.0,0.0,normal,1.0,0.0375,,toward_cover
18,19,1,cover,19,1,floor,0.0,0.0,0.0,normal,1.0,0.03958333333333333,,toward_cover
19,20,1,cover,20,1,floor,0.0,0.0,0.0,normal,1.0,0.041666666666666664,,toward_cover
20,21,1,cover,21,1,floor,0.0,0.0,0.0,normal,1.0,0.04375,,toward_cover
21,22,1,cover,22,1,floor,0.0,0.0,0.0,normal,1.0,0.04583333333333333,,toward_cover
22,23,1,cover,23,1,floor,0.0,0.0,0.0,normal,1.0,0.04791666666666667,,toward_cover
23,24,1,cover,24,1,floor,0.0,0.0,0.0,normal,1.0,0.05,,toward_cover
24,25,1,cover,25,1,floor,0.0,0.0,0.0,normal,1.0,0.052083333333333336,,toward_cover
25,26,1,cover,26,1,floor,0.0,0.0,0.0,normal,1.0,0.05416666666666667,,toward_cover
26,27,1,cover,27,1,floor,0.0,0.0,0.0,normal,1.0,0.05625,,toward_cover
27,28,1,cover,28,1,floor,0.0,0.0,0.0,normal,1.0,0.058333333333333334,,toward_cover
28,28,2,cover,28,2,floor,0.0,0.0,0.0,normal,1.0,0.06041666666666667,,toward_cover
29,27,2,cover,27,2,floor,0.0,0.0,0.0,normal,1.0,0.0625,,toward_cover
30,26,2,cover,26,2,floor,0.0,0.0,0.0,normal,1.0,0.06458333333333334,,toward_cover
31,25,2,cover,25,2,floor,0.0,0.0,0.0,normal,1.0,0.06666666666666667,,toward_cover
32,24,2,cover,24,2,floor,0.0,0.0,0.0,normal,1.0,0.06875,,toward_cover
33,23,2,cover,23,2,floor,0.0,0.0,0.0,normal,1.0,0.07083333333333333,,toward_cover
34,22,2,cover,22,2,floor,0.0,0.0,0.0,normal,1.0,0.07291666666666667,,toward_cover
35,21,2,cover,21,2,floor,0.0,0.0,0.0,normal,1.0,0.075,,toward_cover
36,20,2,cover,20,2,floor,0.0,0.0,0.0,normal,1.0,0.07708333333333334,,toward_cover
37,19,2,cover,19,2,floor,0.0,0.0,0.0,normal,1.0,0.07916666666666666,,toward_cover
38,18,2,cover,18,2,floor,0.0,0.0,0.0,normal,1.0,0.08125,,toward_cover
39,17,2,cover,17,2,floor,0.0,0.0,0.0,normal,1.0,0.08333333333333333,,toward_cover
40,16,2,cover,16,2,floor,0.0,0.0,0.0,normal,1.0,0.08541666666666667,,toward_cover
41,15,2,cover,15,2,floor,0.0,0.0,0.0,normal,1.0,0.0875,,toward_cover
42,14,2,cover,14,2,floor,0.0,0.0,0.0,normal,1.0,0.08958333333333333,,toward_cover
