step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,step_cost,cumulative_cost,planner_mode,coverage_rate,recovery_id,reason
0,2,2,start,,,floor,0.0,0.0,0.0,free,1.0,0.0,0.0,baseline_2d,0.001199040767386091,,initial_position
1,2,1,cover,2,1,floor,0.0,0.0,0.0,free,1.0,1.0,1.0,baseline_2d,0.002398081534772182,,toward_cover
2,3,1,cover,3,1,floor,0.0,0.0,0.0,free,1.0,1.0,2.0,baseline_2d,0.0035971223021582736,,toward_cover
3,4,1,cover,4,1,floor,0.0,0.0,0.0,free,1.0,1.0,3.0,baseline_2d,0.004796163069544364,,toward_cover
4,5,1,cover,5,1,floor,0.0,0.0,0.0,free,1.0,1.0,4.0,baseline_2d,0.005995203836930456,,toward_cover
5,6,1,cover,6,1,floor,0.0,0.0,0.0,free,1.0,1.0,5.0,baseline_2d,0.007194244604316547,,toward_cover
6,7,1,cover,7,1,floor,0.0,0.0,0.0,free,1.0,1.0,6.0,baseline_2d,0.008393285371702638,,toward_cover
7,8,1,cover,8,1,floor,0.0,0.0,0.0,free,1.0,1.0,7.0,baseline_2d,0.009592326139088728,,toward_cover
8,9,1,cover,9,1,floor,0.0,0.0,0.0,free,1.0,1.0,8.0,baseline_2d,0.01079136690647482,,toward_cover
9,10,1,cover,10,1,floor,0.0,0.0,0.0,free,1.0,1.0,9.0,baseline_2d,0.011990407673860911,,toward_cover
10,11,1,cover,11,1,floor,0.0,0.0,0.0,free,1.0,1.0,10.0,baseline_2d,0.013189448441247002,,toward_cover
11,12,1,cover,12,1,floor,0.0,0.0,0.0,free,1.0,1.0,11.0,baseline_2d,0.014388489208633094,,toward_cover
12,13,1,cover,13,1,floor,0.0,0.0,0.0,free,1.0,1.0,12.0,baseline_2d,0.015587529976019185,,toward_cover
13,14,1,cover,14,1,floor,0.0,0.0,0.0,free,1.0,1.0,13.0,baseline_2d,0.016786570743405275,,toward_cover
14,15,1,cover,15,1,floor,0.0,0.0,0.0,free,1.0,1.0,14.0,baseline_2d,0.017985611510791366,,toward_cover
15,16,1,cover,16,1,floor,0.0,0.0,0.0,free,1.0,1.0,15.0,baseline_2d,0.019184652278177457,,toward_cover
16,17,1,cover,17,1,floor,0.0,0.0,0.0,free,1.0,1.0,16.0,baseline_2d,0.02038369304556355,,toward_cover
17,18,1,cover,18,1,floor,0.0,0.0,0.0,free,1.0,1.0,17.0,baseline_2d,0.02158273381294964,,toward_cover
18,19,1,cover,19,1,floor,0.0,0.0,0.0,free,1.0,1.0,18.0,baseline_2d,0.022781774580335732,,toward_cover
19,20,1,cover,20,1,floor,0.0,0.0,0.0,free,1.0,1.0,19.0,baseline_2d,0.023980815347721823,,toward_cover
20,21,1,cover,21,1,floor,0.0,0.0,0.0,free,1.0,1.0,20.0,baseline_2d,0.025179856115107913,,toward_cover
21,22,1,cover,22,1,floor,0.0,0.0,0.0,free,1.0,1.0,21.0,baseline_2d,0.026378896882494004,,toward_cover
22,23,1,cover,23,1,floor,0.0,0.0,0.0,free,1.0,1.0,22.0,baseline_2d,0.027577937649880094,,toward_cover
23,24,1,cover,24,1,floor,0.0,0.0,0.0,free,1.0,1.0,23.0,baseline_2d,0.02877697841726619,,toward_cover
24,25,1,cover,25,1,floor,0.0,0.0,0.0,free,1.0,1.0,24.0,baseline_2d,0.02997601918465228,,toward_cover
25,26,1,cover,26,1,floor,0.0,0.0,0.0,free,1.0,1.0,25.0,baseline_2d,0.03117505995203837,,toward_cover
26,27,1,cover,27,1,floor,0.0,0.0,0.0,free,1.0,1.0,26.0,baseline_2d,0.03237410071942446,,toward_cover
27,28,1,cover,28,1,floor,0.0,0.0,0.0,free,1.0,1.0,27.0,baseline_2d,0.03357314148681055,,toward_cover
28,29,1,cover,29,1,floor,0.0,0.0,0.0,free,1.0,1.0,28.0,baseline_2d,0.03477218225419664,,toward_cover
29,30,1,cover,30,1,floor,0.0,0.0,0.0,free,1.0,1.0,29.0,baseline_2d,0.03597122302158273,,toward_cover
30,31,1,cover,31,1,floor,0.0,0.0,0.0,free,1.0,1.0,30.0,baseline_2d,0.03717026378896882,,toward_cover
31,32,1,cover,32,1,floor,0.0,0.0,0.0,free,1.0,1.0,31.0,baseline_2d,0.03836930455635491,,toward_cover
32,33,1,cover,33,1,floor,0.0,0.0,0.0,free,1.0,1.0,32.0,baseline_2d,0.039568345323741004,,toward_cover
33,34,1,cover,34,1,floor,0.0,0.0,0.0,free,1.0,1.0,33.0,baseline_2d,0.0407673860911271,,toward_cover
34,35,1,cover,35,1,floor,0.0,0.0,0.0,free,1.0,1.0,34.0,baseline_2d,0.04196642685851319,,toward_cover
35,36,1,cover,36,1,floor,0.0,0.0,0.0,free,1.0,1.0,35.0,baseline_2d,0.04316546762589928,,toward_cover
36,37,1,cover,37,1,floor,0.0,0.0,0.0,free,1.0,1.0,36.0,baseline_2d,0.04436450839328537,,toward_cover
37,38,1,cover,38,1,floor,0.0,0.0,0.0,free,1.0,1.0,37.0,baseline_2d,0.045563549160671464,,toward_cover
38,39,1,cover,39,1,floor,0.0,0.0,0.0,free,1.0,1.0,38.0,baseline_2d,0.046762589928057555,,toward_cover
39,40,1,cover,40,1,floor,0.0,0.0,0.0,free,1.0,1.0,39.0,baseline_2d,0.047961630695443645,,toward_cover
40,40,2,cover,40,2,floor,0.0,0.0,0.0,free,1.0,1.0,40.0,baseline_2d,0.049160671462829736,,toward_cover
