step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,step_cost,cumulative_cost,planner_mode,coverage_rate,recovery_id,reason
0,1,3,start,,,floor,0.0,0.0,0.0,free,1.0,0.0,0.0,baseline_2d,0.02,,initial_position
1,1,2,cover,1,2,floor,0.0,0.0,0.0,free,1.0,1.0,1.0,baseline_2d,0.04,,toward_cover
2,1,1,cover,1,1,floor,0.0,0.0,0.0,free,1.0,1.0,2.0,baseline_2d,0.06,,toward_cover
3,2,1,cover,2,1,floor,0.0,0.0,0.0,free,1.0,1.0,3.0,baseline_2d,0.08,,toward_cover
4,3,1,cover,3,1,floor,0.0,0.0,0.0,free,1.0,1.0,4.0,baseline_2d,0.1,,toward_cover
5,4,1,cover,4,1,floor,0.0,0.0,0.0,free,1.0,1.0,5.0,baseline_2d,0.12,,toward_cover
6,5,1,cover,5,1,floor,0.0,0.0,0.0,free,1.0,1.0,6.0,baseline_2d,0.14,,toward_cover
7,6,1,cover,6,1,floor,0.0,0.0,0.0,free,1.0,1.0,7.0,baseline_2d,0.16,,toward_cover
8,7,1,cover,7,1,floor,0.0,0.0,0.0,free,1.0,1.0,8.0,baseline_2d,0.18,,toward_cover
9,8,1,cover,8,1,floor,0.0,0.0,0.0,free,1.0,1.0,9.0,baseline_2d,0.2,,toward_cover
10,9,1,cover,9,1,floor,0.0,0.0,0.0,free,1.0,1.0,10.0,baseline_2d,0.22,,toward_cover
11,10,1,cover,10,1,floor,0.0,0.0,0.0,free,1.0,1.0,11.0,baseline_2d,0.24,,toward_cover
12,10,2,cover,10,2,floor,0.0,0.0,0.0,free,1.0,1.0,12.0,baseline_2d,0.26,,toward_cover
13,9,2,cover,9,2,floor,0.0,0.0,0.0,free,1.0,1.0,13.0,baseline_2d,0.28,,toward_cover
14,8,2,cover,8,2,floor,0.0,0.0,0.0,free,1.0,1.0,14.0,baseline_2d,0.3,,toward_cover
15,7,2,cover,7,2,floor,0.0,0.0,0.0,free,1.0,1.0,15.0,baseline_2d,0.32,,toward_cover
