step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,step_cost,cumulative_cost,planner_mode,coverage_rate,recovery_id,reason
0,2,2,start,,,floor,0.0,0.0,0.0,free,1.0,0.0,0.0,baseline_2d,0.0018181818181818182,,initial_position
1,2,1,cover,2,1,floor,0.0,0.0,0.0,free,1.0,1.0,1.0,baseline_2d,0.0036363636363636364,,toward_cover
2,3,1,cover,3,1,floor,0.0,0.0,0.0,free,1.0,1.0,2.0,baseline_2d,0.005454545454545455,,toward_cover
3,4,1,cover,4,1,floor,0.0,0.0,0.0,free,1.0,1.0,3.0,baseline_2d,0.007272727272727273,,toward_cover
4,5,1,cover,5,1,floor,0.0,0.0,0.0,free,1.0,1.0,4.0,baseline_2d,0.00909090909090909,,toward_cover
5,6,1,cover,6,1,floor,0.0,0.0,0.0,free,1.0,1.0,5.0,baseline_2d,0.01090909090909091,,toward_cover
6,7,1,cover,7,1,floor,0.0,0.0,0.0,free,1.0,1.0,6.0,baseline_2d,0.012727272727272728,,toward_cover
7,8,1,cover,8,1,floor,0.0,0.0,0.0,free,1.0,1.0,7.0,baseline_2d,0.014545454545454545,,toward_cover
8,9,1,cover,9,1,floor,0.0,0.0,0.0,free,1.0,1.0,8.0,baseline_2d,0.016363636363636365,,toward_cover
9,10,1,cover,10,1,floor,0.0,0.0,0.0,free,1.0,1.0,9.0,baseline_2d,0.01818181818181818,,toward_cover
10,11,1,cover,11,1,floor,0.0,0.0,0.0,free,1.0,1.0,10.0,baseline_2d,0.02,,toward_cover
11,12,1,cover,12,1,floor,0.0,0.0,0.0,free,1.0,1.0,11.0,baseline_2d,0.02181818181818182,,toward_cover
12,13,1,cover,13,1,floor,0.0,0.0,0.0,free,1.0,1.0,12.0,baseline_2d,0.023636363636363636,,toward_cover
13,14,1,cover,14,1,floor,0.0,0.0,0.0,free,1.0,1.0,13.0,baseline_2d,0.025454545454545455,,toward_cover
14,15,1,cover,15,1,floor,0.0,0.0,0.0,free,1.0,1.0,14.0,baseline_2d,0.02727272727272727,,toward_cover
15,16,1,cover,16,1,floor,0.0,0.0,0.0,free,1.0,1.0,15.0,baseline_2d,0.02909090909090909,,toward_cover
16,17,1,cover,17,1,floor,0.0,0.0,0.0,free,1.0,1.0,16.0,baseline_2d,0.03090909090909091,,toward_cover
17,18,1,cover,18,1,floor,0.0,0.0,0.0,free,1.0,1.0,17.0,baseline_2d,0.03272727272727273,,toward_cover
18,19,1,cover,19,1,floor,0.0,0.0,0.0,free,1.0,1.0,18.0,baseline_2d,0.034545454545454546,,toward_cover
19,20,1,cover,20,1,floor,0.0,0.0,0.0,free,1.0,1.0,19.0,baseline_2d,0.03636363636363636,,toward_cover
20,21,1,cover,21,1,floor,0.0,0.0,0.0,free,1.0,1.0,20.0,baseline_2d,0.038181818181818185,,toward_cover
21,22,1,cover,22,1,floor,0.0,0.0,0.0,free,1.0,1.0,21.0,baseline_2d,0.04,,toward_cover
22,23,1,cover,23,1,floor,0.0,0.0,0.0,free,1.0,1.0,22.0,baseline_2d,0.04181818181818182,,toward_cover
23,24,1,cover,24,1,floor,0.0,0.0,0.0,free,1.0,1.0,23.0,baseline_2d,0.04363636363636364,,toward_cover
24,25,1,cover,25,1,floor,0.0,0.0,0.0,free,1.0,1.0,24.0,baseline_2d,0.045454545454545456,,toward_cover
25,26,1,cover,26,1,floor,0.0,0.0,0.0,free,1.0,1.0,25.0,baseline_2d,0.04727272727272727,,toward_cover
26,27,1,cover,27,1,floor,0.0,0.0,0.0,free,1.0,1.0,26.0,baseline_2d,0.04909090909090909,,toward_cover
27,28,1,cover,28,1,floor,0.0,0.0,0.0,free,1.0,1.0,27.0,baseline_2d,0.05090909090909091,,toward_cover
28,29,1,cover,29,1,floor,0.0,0.0,0.0,free,1.0,1.0,28.0,baseline_2d,0.05272727272727273,,toward_cover
29,30,1,cover,30,1,floor,0.0,0.0,0.0,free,1.0,1.0,29.0,baseline_2d,0.05454545454545454,,toward_cover
30,31,1,cover,31,1,floor,0.0,0.0,0.0,free,1.0,1.0,30.0,baseline_2d,0.056363636363636366,,toward_cover
31,32,1,cover,32,1,floor,0.0,0.0,0.0,free,1.0,1.0,31.0,baseline_2d,0.05818181818181818,,toward_cover
32,32,2,cover,32,2,floor,0.0,0.0,0.0,free,1.0,1.0,32.0,baseline_2d,0.06,,toward_cover
33,31,2,cover,31,2,floor,0.0,0.0,0.0,free,1.0,1.0,33.0,baseline_2d,0.06181818181818182,,toward_cover
34,30,2,cover,30,2,floor,0.0,0.0,0.0,free,1.0,1.0,34.0,baseline_2d,0.06363636363636363,,toward_cover
35,29,2,cover,29,2,floor,0.0,0.0,0.0,free,1.0,1.0,35.0,baseline_2d,0.06545454545454546,,toward_cover
36,28,2,cover,28,2,floor,0.0,0.0,0.0,free,1.0,1.0,36.0,baseline_2d,0.06727272727272728,,toward_cover
37,27,2,cover,27,2,floor,0.0,0.0,0.0,free,1.0,1.0,37.0,baseline_2d,0.06909090909090909,,toward_cover
38,26,2,cover,26,2,floor,0.0,0.0,0.0,free,1.0,1.0,38.0,baseline_2d,0.07090909090909091,,toward_cover
39,25,2,cover,25,2,floor,0.0,0.0,0.0,free,1.0,1.0,39.0,baseline_2d,0.07272727272727272,,toward_cover
40,24,2,cover,24,2,floor,0.0,0.0,0.0,free,1.0,1.0,40.0,baseline_2d,0.07454545454545454,,toward_cover
41,23,2,cover,23,2,floor,0.0,0.0,0.0,free,1.0,1.0,41.0,baseline_2d,0.07636363636363637,,toward_cover
42,22,2,cover,22,2,floor,0.0,0.0,0.0,free,1.0,1.0,42.0,baseline_2d,0.07818181818181819,,toward_cover
43,21,2,cover,21,2,floor,0.0,0.0,0.0,free,1.0,1.0,43.0,baseline_2d,0.08,,toward_cover
44,20,2,cover,20,2,floor,0.0,0.0,0.0,free,1.0,1.0,44.0,baseline_2d,0.08181818181818182,,toward_cover
45,19,2,cover,19,2,floor,0.0,0.0,0.0,free,1.0,1.0,45.0,baseline_2d,0.08363636363636363,,toward_cover
46,18,2,cover,18,2,floor,0.0,0.0,0.0,free,1.0,1.0,46.0,baseline_2d,0.08545454545454545,,toward_cover
47,17,2,cover,17,2,floor,0.0,0.0,0.0,free,1.0,1.0,47.0,baseline_2d,0.08727272727272728,,toward_cover
48,16,2,cover,16,2,floor,0.0,0.0,0.0,free,1.0,1.0,48.0,baseline_2d,0.0890909090909091,,toward_cover
49,15,2,cover,15,2,floor,0.0,0.0,0.0,free,1.0,1.0,49.0,baseline_2d,0.09090909090909091,,toward_cover
50,14,2,cover,14,2,floor,0.0,0.0,0.0,free,1.0,1.0,50.0,baseline_2d,0.09272727272727273,,toward_cover
51,13,2,cover,13,2,floor,0.0,0.0,0.0,free,1.0,1.0,51.0,baseline_2d,0.09454545454545454,,toward_cover
52,12,2,cover,12,2,floor,0.0,0.0,0.0,free,1.0,1.0,52.0,baseline_2d,0.09636363636363636,,toward_cover
53,11,2,cover,11,2,floor,0.0,0.0,0.0,free,1.0,1.0,53.0,baseline_2d,0.09818181818181818,,toward_cover
54,10,2,cover,10,2,floor,0.0,0.0,0.0,free,1.0,1.0,54.0,baseline_2d,0.1,,toward_cover
55,9,2,cover,9,2,floor,0.0,0.0,0.0,free,1.0,1.0,55.0,baseline_2d,0.10181818181818182,,toward_cover
56,8,2,cover,8,2,floor,0.0,0.0,0.0,free,1.0,1.0,56.0,baseline_2d,0.10363636363636364,,toward_cover
57,7,2,cover,7,2,floor,0.0,0.0,0.0,free,1.0,1.0,57.0,baseline_2d,0.10545454545454545,,toward_cover
58,6,2,cover,6,2,floor,0.0,0.0,0.0,free,1.0,1.0,58.0,baseline_2d,0.10727272727272727,,toward_cover
59,5,2,cover,5,2,floor,0.0,0.0,0.0,free,1.0,1.0,59.0,baseline_2d,0.10909090909090909,,toward_cover
60,4,2,cover,4,2,floor,0.0,0.0,0.0,free,1.0,1.0,60.0,baseline_2d,0.11090909090909092,,toward_cover
61,3,2,cover,3,2,floor,0.0,0.0,0.0,free,1.0,1.0,61.0,baseline_2d,0.11272727272727273,,toward_cover
62,3,3,cover,3,3,floor,0.0,0.0,0.0,free,1.0,1.0,62.0,baseline_2d,0.11454545454545455,,toward_cover
63,4,3,cover,4,3,floor,0.0,0.0,0.0,free,1.0,1.0,63.0,baseline_2d,0.11636363636363636,,toward_cover
64,5,3,cover,5,3,floor,0.0,0.0,0.0,free,1.0,1.0,64.0,baseline_2d,0.11818181818181818,,toward_cover
65,6,3,cover,6,3,floor,0.0,0.0,0.0,free,1.0,1.0,65.0,baseline_2d,0.12,,toward_cover
66,7,3,cover,7,3,floor,0.0,0.0,0.0,free,1.0,1.0,66.0,baseline_2d,0.12181818181818181,,toward_cover
67,7,4,cover,7,4,floor,0.0,0.0,0.0,free,1.0,1.0,67.0,baseline_2d,0.12363636363636364,,toward_cover
68,6,4,cover,6,4,floor,0.0,0.0,0.0,free,1.0,1.0,68.0,baseline_2d,0.12545454545454546,,toward_cover
69,5,4,cover,5,4,floor,0.0,0.0,0.0,free,1.0,1.0,69.0,baseline_2d,0.12727272727272726,,toward_cover
70,4,4,cover,4,4,floor,0.0,0.0,0.0,free,1.0,1.0,70.0,baseline_2d,0.1290909090909091,,toward_cover
71,3,4,cover,3,4,floor,0.0,0.0,0.0,free,1.0,1.0,71.0,baseline_2d,0.13090909090909092,,toward_cover
72,2,4,cover,2,4,floor,0.0,0.0,0.0,free,1.0,1.0,72.0,baseline_2d,0.13272727272727272,,toward_cover
73,2,3,cover,2,3,floor,0.0,0.0,0.0,free,1.0,1.0,73.0,baseline_2d,0.13454545454545455,,toward_cover
74,1,3,cover,1,3,floor,0.0,0.0,0.0,free,1.0,1.0,74.0,baseline_2d,0.13636363636363635,,toward_cover
75,1,2,cover,1,2,floor,0.0,0.0,0.0,free,1.0,1.0,75.0,baseline_2d,0.13818181818181818,,toward_cover
76,1,1,cover,1,1,floor,0.0,0.0,0.0,free,1.0,1.0,76.0,baseline_2d,0.14,,toward_cover
77,1,2,recover_backtrack,1,3,floor,0.0,0.0,0.0,free,1.0,1.0,77.0,baseline_2d,0.14,1,backtrack_to_branch_cell
78,1,3,recover_backtrack,1,3,floor,0.0,0.0,0.0,free,1.0,1.0,78.0,baseline_2d,0.14,1,backtrack_to_branch_cell
79,1,4,recover_branch,1,4,floor,0.0,0.0,0.0,free,1.0,1.0,79.0,baseline_2d,0.14181818181818182,1,toward_recover_branch
80,1,5,cover,1,5,floor,0.0,0.0,0.0,free,1.0,1.0,80.0,baseline_2d,0.14363636363636365,1,toward_cover
81,2,5,cover,2,5,floor,0.0,0.0,0.0,free,1.0,1.0,81.0,baseline_2d,0.14545454545454545,1,toward_cover
82,3,5,cover,3,5,floor,0.0,0.0,0.0,free,1.0,1.0,82.0,baseline_2d,0.14727272727272728,1,toward_cover
