step,x,y,action,target_x,target_y,semantic,height,slope,roughness,traversability_class,cost,coverage_rate,recovery_id,reason
0,2,2,start,,,floor,0.0,0.0,0.0,normal,1.0,0.0014814814814814814,,initial_position
1,2,1,cover,2,1,floor,0.0,0.0,0.0,normal,1.0,0.002962962962962963,,toward_cover
2,3,1,cover,3,1,floor,0.0,0.0,0.0,normal,1.0,0.0044444444444444444,,toward_cover
3,4,1,cover,4,1,floor,0.0,0.0,0.0,normal,1.0,0.005925925925925926,,toward_cover
4,5,1,cover,5,1,floor,0.0,0.0,0.0,normal,1.0,0.007407407407407408,,toward_cover
5,6,1,cover,6,1,floor,0.0,0.0,0.0,normal,1.0,0.008888888888888889,,toward_cover
6,7,1,cover,7,1,floor,0.0,0.0,0.0,normal,1.0,0.01037037037037037,,toward_cover
7,8,1,cover,8,1,floor,0.0,0.0,0.0,normal,1.0,0.011851851851851851,,toward_cover
8,9,1,cover,9,1,floor,0.0,0.0,0.0,normal,1.0,0.013333333333333334,,toward_cover
9,10,1,cover,10,1,floor,0.0,0.0,0.0,normal,1.0,0.014814814814814815,,toward_cover
10,11,1,cover,11,1,floor,0.0,0.0,0.0,normal,1.0,0.016296296296296295,,toward_cover
11,12,1,cover,12,1,floor,0.0,0.0,0.0,normal,1.0,0.017777777777777778,,toward_cover
12,13,1,cover,13,1,floor,0.0,0.0,0.0,normal,1.0,0.01925925925925926,,toward_cover
13,14,1,cover,14,1,floor,0.0,0.0,0.0,normal,1.0,0.02074074074074074,,toward_cover
14,15,1,cover,15,1,floor,0.0,0.0,0.0,normal,1.0,0.022222222222222223,,toward_cover
15,16,1,cover,16,1,floor,0.0,0.0,0.0,normal,1.0,0.023703703703703703,,toward_cover
16,17,1,cover,17,1,floor,0.0,0.0,0.0,normal,1.0,0.025185185185185185,,toward_cover
17,18,1,cover,18,1,floor,0.0,0.0,0.0,normal,1.0,0.02666666666666667,,toward_cover
18,19,1,cover,19,1,floor,0.0,0.0,0.0,normal,1.0,0.028148148148148148,,toward_cover
19,20,1,cover,20,1,floor,0.0,0.0,0.0,normal,1.0,0.02962962962962963,,toward_cover
20,21,1,cover,21,1,floor,0.0,0.0,0.0,normal,1.0,0.03111111111111111,,toward_cover
21,22,1,cover,22,1,floor,0.0,0.0,0.0,normal,1.0,0.03259259259259259,,toward_cover
22,23,1,cover,23,1,floor,0.0,0.0,0.0,normal,1.0,0.034074074074074076,,toward_cover
23,24,1,cover,24,1,floor,0.0,0.0,0.0,normal,1.0,0.035555555555555556,,toward_cover
24,25,1,cover,25,1,floor,0.0,0.0,0.0,normal,1.0,0.037037037037037035,,toward_cover
25,26,1,cover,26,1,floor,0.0,0.0,0.0,normal,1.0,0.03851851851851852,,toward_cover
